"Wed, 6 Mar 2024",12 - 1AM,16.3,0,1,68,8,SW,Best Conditions
"Wed, 6 Mar 2024",1 - 2AM,16.4,0,5,67.7,12.4,SW,Best Conditions
"Wed, 6 Mar 2024",2 - 3AM,15.4,0,71.5,78.3,11.2,SW,Best Conditions
"Wed, 6 Mar 2024",3 - 4AM,15.4,0,1.9,73.6,9.9,SW,Best Conditions
"Wed, 6 Mar 2024",4 - 5AM,15.7,0,0.9,66.3,12.4,SW,Best Conditions
"Wed, 6 Mar 2024",5 - 6AM,16.1,0,4.8,62.5,13.1,SW,Best Conditions
"Wed, 6 Mar 2024",6 - 7AM,15.7,0,25.4,72.4,9.3,SW,Best Conditions
"Wed, 6 Mar 2024",7 - 8AM,15.7,0,1.5,72.4,5.3,SW,Best Conditions
"Wed, 6 Mar 2024",8 - 9AM,17.1,0,1.1,69,7,SW,Best Conditions
"Wed, 6 Mar 2024",9 - 10AM,18.4,0,0.7,62.9,14,SW,Best Conditions
"Wed, 6 Mar 2024",10 - 11AM,19.1,0,0.6,58.2,14.1,SW,Best Conditions
"Wed, 6 Mar 2024",11 - 12PM,19.1,0,0.6,59.9,15.5,SW,Extreme Caution
"Wed, 6 Mar 2024",12 - 1PM,19.3,0,0.5,60.5,15.9,SW,Extreme Caution
"Wed, 6 Mar 2024",1 - 2PM,19.7,0,1.1,60.5,17.2,SW,Extreme Caution
"Wed, 6 Mar 2024",2 - 3PM,19.4,0,0.5,62.4,15.1,SW,Extreme Caution
"Wed, 6 Mar 2024",3 - 4PM,20.1,0,0.4,58.6,14.2,SW,Best Conditions
"Wed, 6 Mar 2024",4 - 5PM,20.4,0,0.4,56.6,13.9,SW,Best Conditions
"Wed, 6 Mar 2024",5 - 6PM,19.8,0,0.5,59,12.3,SW,Best Conditions
"Wed, 6 Mar 2024",6 - 7PM,19.1,0,0.7,62.1,12,SW,Best Conditions
"Wed, 6 Mar 2024",7 - 8PM,17,0,2.1,69.3,6.9,SW,Best Conditions
"Wed, 6 Mar 2024",8 - 9PM,13.8,0,62.3,81.4,0.1,SW,Not Recommended
"Wed, 6 Mar 2024",9 - 10PM,11.8,0,96.6,89.4,0.8,N,Not Recommended
"Wed, 6 Mar 2024",10 - 11PM,10.9,0,99,90.8,0.2,N,Not Recommended
"Wed, 6 Mar 2024",11 - 12AM,10,0,100,90.8,0.1,N,Not Recommended
